kode,nama,kab,alamat,TELEPON,pemilik,kelas
3171461,RS Umum Tebet,Kota Jakarta Selatan,Jl. Letjen MT Haryono kav 13 Jakarta Selatan,(021) 830 7544,Organisasi Sosial,B
3174497,RS Ibu dan Anak Metro Hospitals Kebon Jeruk,Kota Jakarta Barat,Jl. Duri Raya No. 22 Duri Kepa Jakbar,021-5669411-12,SWASTA/LAINNYA,C
3174523,RS Umum Daerah Matraman,Kota Jakarta Timur,Jl. Kebon kelapa raya no. 29 kel. Utan kayu selatan kec. Matraman,021-85909055,Pemprop,D
3171757,RS Ibu dan Anak Brawijaya Durentiga,Kota Jakarta Selatan,Jl. Duren Tiga Raya No.5 Pancoran Jaksel,021-7976605,SWASTA/LAINNYA,C
3175396,RS Umum Port Medical Center,Kota Jakarta Utara,"Jl. Enggano No. 10 Tanjung Priok, Jakarta Utara",021 43902350,SWASTA/LAINNYA,D
3172505,RS Islam Jakarta Pondok Kopi,Kota Jakarta Timur,Jl. Raya Pondok Kopi Jakarta Timur,021-8610471,Organisasi Islam ,B
3171511,RS Bedah Siloam Asri,Kota Jakarta Selatan,"Jl. Duren Tiga Raya No. 20, Duren Tiga, Pancoran",(021) 2783 7900,Perusahaan,B
3172757,RS Umum Adhyaksa,Kota Jakarta Timur,Jl. Raya Hankam No. 60 Ceger Cipayung,+622129462345,Kementerian Lain,B
3173706,RS Umum Hermina Kemayoran,Kota Jakarta Pusat,Jl. Selangit Blok B.10 Kav No.4 Kel. Gunung Sahari Selatan Kec. Kemayoran ,021-22602525,SWASTA/LAINNYA,B
3171791,RS Umum Daerah Pesanggrahan,Kota Jakarta Selatan,Jalan Cenek I no. 1 Pesanggrahan,(021)7356087,Pemprop,C
3173073,RS Islam Jakarta Cempaka Putih,Kota Jakarta Pusat,Jl. Cempaka Putih Tengah I / 1 Jakarta Pusat - Indonesia,021-4250451,Organisasi Islam ,B
3173532,RS Khusus THT Bedah KL Proklamasi,Kota Jakarta Pusat,"Jl. Proklamasi No. 43, Menteng - Jakarta Pusat",021-3900002,SWASTA/LAINNYA,B
3172765,RS Ibu dan Anak AL-Fauzan,Kota Jakarta Timur,"RSIA Al Fauzan 
Jl. Pedati No. 3 Kel. Kampung Tengah, Kec. Kramat Jati, 
Kota Jakarta Timur, 
DKI Jakarta",021 8402821,SWASTA/LAINNYA,C
3171034,RS Umum AL Cilandak,Kota Jakarta Selatan,"Jl. Raya Cilandak KKO Cilandak Timur, Pasar Minggu Jakarta Selatan",021-7805296,TNI AL,B
3174282,RS Jantung dan Pembuluh Darah Harapan Kita,Kota Jakarta Barat,"Jl. S. Parman Kav 87, Slipi",021-5684086,Kemkes ,A
3172752,RS Jantung Binawaluya,Kota Jakarta Timur,"Jl. TB Simatupang No.71, RT.11/RW.5, Susukan, Kec. Ciracas",021-87781605,Perusahaan,C
3172137,RS Ibu dan Anak Sayyidah,Kota Jakarta Timur," Jl. Taman malaka Selatan No.6 Pondok Kelapa, Jaktim",86902950,SWASTA/LAINNYA,C
3171680,RS Umum Tria Dipa,Kota Jakarta Selatan,"Jl. Raya Pasar Minggu No.3A Rt 004 Rw 01 Kelurahan Pancoran, Kecamatan Pancoran, Jakarta Selatan",021-7993058,SWASTA/LAINNYA,C
3175326,RS Islam Jakarta Sukapura,Kota Jakarta Utara,"Jl. Tipar Cakung No.5, Kelurahan Sukapura, Kecamatan Cilincing, Kota Jakarta Utara, Provinsi Daerah Khusus Ibukota Jakarta 14140",021-4400778,Organisasi Sosial,C
3172083,RS Tk. IV Cijantung,Kota Jakarta Timur,Jl. Mahoni No. 1 Cijantung II Rt 005/004  Pasar Rebo Jakarta Timur,021 8400535,TNI AD,C
3174527,RS Gigi dan Mulut FKG Universitas Trisakti,Kota Jakarta Barat,Jl. Kyai Tapa No. 260 Grogol Jakarta Barat,021 5672731 ext,Perusahaan,A
3174515,RS Khusus Mata Jakarta Eye Center Kedoya,Kota Jakarta Barat,"Jl. Terusan Arjuna Utara No.1, Kedoya Sel., Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520",08041221000,Perusahaan,A
3172746,RS Khusus Daerah Duren Sawit,Kota Jakarta Timur,Jl. Duren Sawit Baru Jakarta Timur,021-8628686,Pemprop,A
3171782,RS Umum Andhika,Kota Jakarta Selatan,"Jl. Warung Sila No. 8, RT.06/RW.04, Gudang Baru Ciganjur, Jagakarsa Jakarta Selatan",021-78887087,Organisasi Sosial,C
3175417,RS Mata JEC Primasana @Tanjung Priok,Kota Jakarta Utara,Jl. Kebon Bawang Raya No. 01 RT. 13 RW. 01 Kelurahan Kebon Bawang Kecamatan Tanjungpriok ,021 2922 1000,Perorangan,C
3173695,RS Ibu dan Anak Tambak,Kota Jakarta Pusat,"Jl. Tambak No.18, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320, Indonesia",021-2303444,SWASTA/LAINNYA,C
3171798,RS Umum Ali Sibroh Malisi,Kota Jakarta Selatan,Jl. Warung Silah No. 01 Gudang baru Rt. 08 Rw. 05 Kel. Cipedak Kec. Jagakarsa Jakarta Selatan 12630,021-7270681,Perorangan,C
3171515,RS Umum MMC,Kota Jakarta Selatan,"Jl. H R. Rasuna Said No.21,Jaksel",021-5203435,SWASTA/LAINNYA,B
3175016,RS Umum Daerah Koja,Kota Jakarta Utara,"Jl. Deli No.4 Tanjung Priok,Jakut",021-43938478,Pemprop,B
3175416,RS Umum Daerah  Tanjung Priok,Kota Jakarta Utara,Jl. Bugis No. 03 Kel. Kebon Bawang Kec. Tanjung Priok,021-43908923,Pemprop,D
3173697,RSGM LADOKGI R.E MARTADINATA,Kota Jakarta Pusat," Jl. Farmasi No.1, Bendungan Hilir, Tanah Abang, Jakarta Pusat",021-5733026,TNI AL,B
3171781,RS Muhammadiyah Taman Puring,Kota Jakarta Selatan,"Jl. Gandaria 1 No.20, RT.1/RW.2, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130",0217208358 ex.1,Organisasi Islam ,C
3172520,RS Umum Harum,Kota Jakarta Timur,"Jl. Tarum Barat, Kalimalang ",8617212,Organisasi Sosial,C
3175410,RS Umum Pekerja,Kota Jakarta Utara,Jl. Raya Cakung Cilincing RT 001 RW 002 Kel. Sukapura Kec. Cilincing Jakarta Utara ,021-29484848,SWASTA/LAINNYA,C
3173701,RS Umum Daerah Johar Baru,Kota Jakarta Pusat,"Jl. Tanah Tinggi XII,  No.15-23, RT.10/RW.9, Tanah Tinggi, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",02121470344,Pemprop,D
3173105,RS Umum Budi Kemuliaan,Kota Jakarta Pusat,Jl. Budi Kemuliaan No.25 Jakarta Pusat,021-3842828,Organisasi Sosial,C
3173580,RS Umum Kramat 128,Kota Jakarta Pusat,"Jl. Kramat Raya No.128,Jakpus",021-3918288,Organisasi Sosial,C
3171800,RS Umum Daerah Jati Padang,Kota Jakarta Selatan,"Jl. Raya Ragunan No. 16 dan 17, Kelurahan Pasar Minggu, Kecamatan Pasar Minggu, Kota Administrasi Jakarta Selatan, Provinsi DKI Jakarta. Kode pos 12520",(021) 22784477,Pemprop,D
3171060,RS Jiwa Dharmawangsa,Kota Jakarta Selatan,"Jl. Darmawangsa Raya Blok P/ II No.13, Kelurahan Pulo Kecamatan Kebayoran Baru Kotamadya Jakarta Selatan Provinsi DKI Jakarta",7394484,Organisasi Sosial,C
3174416,RS Umum Patria IKKT,Kota Jakarta Barat,"Jl. Cendrawasih No.1, Komplek Kemhan Mabes TNI Slipi, Kel. Palmerah, Kec. Palmerah, Kota Adm. Jakarta Barat, Prov. DKI Jakarta 11480",021-5308981,Organisasi Sosial,C
3171702,RS Umum Zahirah,Kota Jakarta Selatan,"Jl. Sirsak No.21 RT/RW 009/001, Jagakarsa, Jakarta Selatan, DKI JAKARTA, 12620",7872210,SWASTA/LAINNYA,C
3174522,RS Umum Ciputra Hospital Citragarden City,Kota Jakarta Barat,"Alamat: Jl. Boulevard Raya No.1, RT.1/RW.16, Prepedan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830",(021) 22557888,SWASTA/LAINNYA,B
3175341,RS Umum Pluit,Kota Jakarta Utara,Jl. Raya Pluit Selatan 2 Jakut,021 29228000,SWASTA/LAINNYA,B
3172126,RS Umum Daerah Pasar Rebo,Kota Jakarta Timur,Jl. TB Simatupang No.30,021-8401127,Pemprop,B
3175412,RS Umum Daerah Tugu Koja,Kota Jakarta Utara,"Jl. Walang Permai No 39, RT.008 RW.012, Kel. Tugu Utara, Kec. Koja, Kota Administrasi Jakarta Utara, DKI Jakarta",(021) 4358809,Pemprop,C
3175075,RS Umum Mulyasari,Kota Jakarta Utara,"Jl. Raya Plumpung Semper No.19 RT.006/RW.015, Jakarta Utara ",021 43931111,SWASTA/LAINNYA,C
3173025,RS Umum PAD Gatot Soebroto,Kota Jakarta Pusat,Jl. Dr. Abdul  Rahman Saleh No. 24  Jakarta Pusat,021 3441008,TNI AD,A
3174531,RS Ukrida,Kota Jakarta Barat,Jl. Arjuna Utara No. 6 Kel. Duri Kepa Kec. Kebon Jeruk,(021) 39723777,Perusahaan,C
3174519,RS Umum Mitra Keluarga Kalideres,Kota Jakarta Barat,JL PETA SELATAN NO 1 RT/RW 007/011 KEL KALIDERES KEC KALIDERES JAKARTA BARAT,(021)22523700,Perusahaan,C
3172751,RS Gigi Dan Mulut Angkatan Udara,Kota Jakarta Timur,"Jl.Puntodewo 1 Dirgantara 2, Halim Perdanakusuma",021-80879255/56,TNI AU,B
3171805,RS Umum Siloam Mampang,Kota Jakarta Selatan,"Jl. Mampang Prpt. Raya No.16, RW.5, Duren Tiga, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12760",(021) 50102911,Perusahaan,C
3171912,RS Jantung dan Pembuluh Darah Heartology,Kota Jakarta Selatan,"Jl. Birah III No. 4 Kel. Rawa Barat, Kebayoran Baru",0811915911,SWASTA/LAINNYA,C
3172750,RS Ibu dan Anak Resti Mulya,Kota Jakarta Timur,Jl. Pahlawan Komarudin no. 05 penggilingan - Cakung,"021-4803936, 48",Perusahaan,C
3173699,RS Umum Daerah Kemayoran,Kota Jakarta Pusat,Jl. Serdang Baru I  RT.6/RW.5 Kel. Serdang Kec. Kemayoran Kota Jakarta Pusat DKI Jakarta,021-4251005,Pemprop,D
3174026,RS Umum Pelni Petamburan,Kota Jakarta Barat,"Jl.Aipda KS Tubun No. 92-94, Desa/Kelurahan Slipi, Kec Palmerah, Kota Adm. Jakarta Barat, Provinsi DKI Jakarta Kode Pos  11410",5306901,BUMN,B
3171574,RS Umum Prikasih,Kota Jakarta Selatan,"Jl. RS Fatmawati Raya No. 74, Pondok Labu, Cilandak",7504669,Organisasi Sosial,C
3175042,RS Umum  Pelabuhan Tanjung Priok,Kota Jakarta Utara,Jl. Kramat Jaya Tg Priok Jakut,021-4403026,BUMN,C
3172024,RS Umum Daerah Budhi Asih,Kota Jakarta Timur,"Jl. Dewi Sartika, Cawang III/ 200,Jakarta Timur",021-8090282,Pemprop,B
3172771,RS Umum Daerah Cipayung,Kota Jakarta Timur,"Jl. Mini III RT 004 RW 003 
Kelurahan Bambu Apus, Kecamatan Cipayung
Kota Jakarta Timur
DKI Jakarta",(021)85506588,Pemprop,D
3173723,RS Siloam Agora,Kota Jakarta Pusat,Jl. Letjend Suprapto No.1 ,021-5089-6900,SWASTA/LAINNYA,C
3172553,RS Umum Harapan Bunda,Kota Jakarta Timur,Jl. Raya Bogor Km.22 No.44 Jakarta Timur,8400257,SWASTA/LAINNYA,B
3171793,RS Umum Daerah Mampang Prapatan,Kota Jakarta Selatan,Jl. Kapten P. Tendean No. 9A Jakarta Selatan,021 7971115,Pemprop,D
3173120,RS Khusus Ibu Anak Bunda Jakarta,Kota Jakarta Pusat,Jl. Teuku Cik Ditiro No. 28 Menteng,021-31922005,Perusahaan,B
3172749,RS Pusat Otak Nasional Prof DR. dr. Mahar Mardjono,Kota Jakarta Timur,Jl. MT Haryono Kav. 11 Kel. Cawang Kec. Kramat Jati,2129373377,Kemkes ,A
3173623,RS Khusus JEC @Menteng,Kota Jakarta Pusat,Jl. Teuku Cik Ditiro No.46 Jakarta Pusat,021-29221000 ,SWASTA/LAINNYA,B
3174052,RS Umum Grha Kedoya,Kota Jakarta Barat,"Jln. Panjang Arteri No. 26 Kedoya Utara, kebon Jeruk",021-29910999,Perusahaan,B
3174431,RS Umum Hermina Daan Mogot,Kota Jakarta Barat,"Jl. Kintamani Raya No. 2, Komp. Perumahan Daan Mogot Baru",021-5408989,SWASTA/LAINNYA,B
3171724,RS Khusus Ibu dan Anak Brawijaya,Kota Jakarta Selatan,Jl..Taman Brawijaya No.1 Kel. Cepete Utara Kec. Kebayoran Baru,021-7211337,SWASTA/LAINNYA,B
3175363,RS Ibu dan Anak Family,Kota Jakarta Utara,Jl. Pluit Mas I Blok A No 2A - 5A Pejagalan Penjaringan Jakarta Utara,021-6695066,SWASTA/LAINNYA,C
3172243,RS Umum Hermina Jatinegara,Kota Jakarta Timur,"Jl. Jatinegara Barat 126, Jakarta Timur ",021 8191223,SWASTA/LAINNYA,B
3173040,RS Umum Husada,Kota Jakarta Pusat,Jl. Raya Mangga Besar No.137/139 Jakarta Pusat,021-6260108,SWASTA/LAINNYA,B
3174041,RS Jiwa Dr. Soeharto Heerdjan,Kota Jakarta Barat,Jl. Prof.Dr.Latumeten No. 1 Jakarta Barat,021-5682841,Kemkes ,A
3171632,RS Umum Agung,Kota Jakarta Selatan,"Jl. Sultan Agung No.67 RT 1/ RW 8, Kelurahan Ps Manggis, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12970",021-8294955,Organisasi Sosial,C
3175181,RS Umum Sukmul,Kota Jakarta Utara,Jl. Tawes No.18-20 Tanjung Priuk  Jakarta Utara 14310,021-4301269,SWASTA/LAINNYA,C
3172050,RS Pusdikkes,Kota Jakarta Timur,"Jl. Raya Bogor Km. 20, Kramat Jati, Jakarta Timur",021-8092358,TNI AD,C
3171803,RS Umum Daerah Kebayoran Lama,Kota Jakarta Selatan,Jl. Jatayu RT. 001 RW. 012 Kelurahan Kebayoran Lama Selatan Kecamatan Kebayoran Lama Jakarta Selatan,021 27939067,Pemprop,D
3174525,RS Umum Daerah Taman Sari,Kota Jakarta Barat,Jalan Madu Rt/Rw 03/03 No.10 Mangga Besar Taman Sari Jakarta Barat 11180,021-26075052,Pemprop,D
3172753,RS Umum Antam Medika,Kota Jakarta Timur,"Jl. Pemuda Raya No. 1A, Kelurahan Jatinegara Kaum, Kecamatan Pulo Gadung, Kota Jakarta Timur, Provinsi DKI Jakarta",021 806 148 88,SWASTA/LAINNYA,C
3172702,RS Umum Dharma Nugraha,Kota Jakarta Timur,Jl. Balai Pustaka Baru 19 Rawamangun,021 4707433,SWASTA/LAINNYA,C
3174518,RS Umum Daerah Kalideres,Kota Jakarta Barat,"Jl. Bedugul Blok NA, RT.008 RW.012, Perumahan Daan Mogot Baru, Kelurahan Kalideres, Kecamatan Kalideres, Kota Jakarta Barat, Provinsi DKI Jakarta
Kode Pos: 11840",021-22306463,Pemprop,C
3174542,RS Umum dr Abdul Radjak Cengkareng,Kota Jakarta Barat,Jl. Daan mogot KM. 17. Komplek Imperial Business Center Blok A No.1-10 Kel. Kalideres Kec. Kalideres,(021)54343801 ,SWASTA/LAINNYA,D
3173474,RS Umum Pertamina Jaya,Kota Jakarta Pusat,Jl. A. Yani No. 2 By Pass Jakarta Pusat,021 4211911,BUMN,C
3173700,RS Umum Daerah Cempaka Putih,Kota Jakarta Pusat,Jl.Rawasari Selatan No1,(021)4224243,Pemprop,D
3173645,RS Menteng Mitra Afia,Kota Jakarta Pusat,"Jl. Kalipasir No.9 Kel. Kebon Sirih, Kec. Menteng, Jakarta Pusat",3154050,SWASTA/LAINNYA,C
3171450,RS Umum Setia Mitra,Kota Jakarta Selatan,"Jl. Fatmawati No. 80-82, RT 3 RW 10, Kel. Cilandak Barat, Kec. Cilandak, Jakarta Selatan, DKI Jakarta, 12430",7656000,Organisasi Sosial,C
3174486,RS Umum  Royal Taruma,Kota Jakarta Barat,"Jl. Daan Mogot No.34,Jakarta Barat",56958338,SWASTA/LAINNYA,B
3171746,RS Umum Aulia,Kota Jakarta Selatan,"Jl. Jeruk Raya No.15 RT.011 RW 01 Kelurahan Jagakarsa, Kecamatan Jagakarsa, Kota Jakarta Selatan, Provinsi DKI Jakarta",021-7270208,SWASTA/LAINNYA,C
3175385,RS Umum Mitra Keluarga Kelapa Gading,Kota Jakarta Utara,Jl. Bukit Gading Raya Kav.2,021-45852700,SWASTA/LAINNYA,B
3171072,RS Umum Dr. Suyoto Pusrehab Kemhan,Kota Jakarta Selatan,Jl. RC. Veteran Raya No. 178 RT 09 RW 03 Kelurahan Bintaro Kecamatan Pesanggrahan Jakarta Selatan 12330,0821-1087-0671,Kementerian Lain,B
3173707,RS Gigi Dan Mulut YARSI,Kota Jakarta Pusat,Jl. LetJend Suprapto Kav. 13 Cempaka Putih. Jakarta Pusat. DKI Jakarta,02129287264,SWASTA/LAINNYA,B
3172495,RS EMC Pulomas,Kota Jakarta Timur,Jl. Pulomas Barat VI No. 20. ,021-29779999,SWASTA/LAINNYA,B
3172769,RS Umum  Dr. EUIS,Kota Jakarta Timur,Jl. H. Naman No.3 (TRANSITO) Kalimalang Kelurahan Pondok Kelapa Kecamatan Duren Sawit,021 8656488,Perusahaan,C
3173062,RS Primaya PGI Cikini,Kota Jakarta Pusat,Jl. Raden Saleh No. 40 Jakpus,021-38997777,Organisasi Protestan,B
3173521,RS Umum Daerah Tarakan,Kota Jakarta Pusat,"Jl. Kyai Caringin no. 7 RT 11 / RW 04, Cideng, Kec. Gambir",021-3503150,Pemprop,A
3171023,RS Umum Pusat Pertamina,Kota Jakarta Selatan,"Jl. Kyai Maja No.43 Kebayoran Baru,Jakarta Selatan",7219000,BUMN,B
3171807,RS Brawijaya Saharjo,Kota Jakarta Selatan,"Jl. Dr. Saharjo No.199, RT.1/RW.1, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810",021-39737890,SWASTA/LAINNYA,C
3174260,RS Anak dan Bunda Harapan Kita,Kota Jakarta Barat,Jl. Let.Jend. S Parman Kav. 87 Slipi Jakbar,021-5668284,Kemkes ,A
3171665,RS Umum Medistra,Kota Jakarta Selatan,"Jl. Jendral Gatot Subroto Kav  59
Kelurahan  Kuningan Timur,  Kecamatan  Setiabudi
Jakarta Selatan
DKI Jakarta",021-5210200,SWASTA/LAINNYA,B
3171056,RS Khusus Kanker MRCCC Siloam Semanggi,Kota Jakarta Selatan,"Jl. Garnisun No. 2 - 3, RT 003, RW 004, Kel. Karet Semanggi, Kec. Setiabudi, Jakarta Selatan",021-29962888,Perusahaan,A
3175315,RS Umum  Satya Negara,Kota Jakarta Utara,Jl. Agung Utara Raya No. 1 Jakut,021 64715200,Organisasi Sosial,C
3172072,RS Umum Bhayangkara Tk. I R.Said Sukanto,Kota Jakarta Timur,"Jl. Raya Bogor Kramat Jati,Jakarta Timur",021 8093288,POLRI,A
3175408,RS Umum Firdaus,Kota Jakarta Utara,Komp. Bea Cukai Jl. Siak J5/14,4407322,Perusahaan,C
3172735,RS Jiwa Islam Klender,Kota Jakarta Timur,"Jl. Bunga Rampai X, Perumnas Klender , Malaka Jaya Kecamatan Duren Sawit Kota Administrasi Jakarta Timur, Provinsi DKI Jakarta",021-8622491,Organisasi Islam ,C
3171784,RS Yadika Kebayoran Lama,Kota Jakarta Selatan,Jl. Ciputat Raya No. 5  ,021-7291074,Perusahaan,C
3174517,RS Umum Daerah  Kembangan,Kota Jakarta Barat,"Jl. Topaz Raya Blok F 2 No. 3 Rt.15 Rw. 07, Kelurahan Meruya Utara,  Kecamatan Kembangan, Jakarta Barat 11620",(021) 5870834,Pemprop,C
3173671,RS Gigi dan Mulut FKG Univ. Indonesia,Kota Jakarta Pusat,Jl. Salemba Raya No. 4 Jakarta Pusat,3923145,Kementerian Lain,A
3172766,RS Umum Olahraga Nasional,Kota Jakarta Timur,Jl. Jambore Raya No. 1 Kelurahan Cibubur Kecamatan Ciracas 13720,021-87753977,Kementerian Lain,D
3175411,RS Umum Duta Indah,Kota Jakarta Utara,Jl. Teluk Gong Raya No. 12 Kel. Pejagalan Kec. Penjaringan,021-66676188,SWASTA/LAINNYA,C
3171504,RS Umum Pondok Indah,Kota Jakarta Selatan,"Jl. Metro Duta Kav. UE Pondok  Indah,Jaksel",021-7657525,SWASTA/LAINNYA,B
3174508,RS Pondok Indah Puri Indah ,Kota Jakarta Barat,"Jl. Puri Indah Raya,Blok S-2,Kel.Kembangan Selatan,Jakbar ",021-25695222,SWASTA/LAINNYA,B
3171768,RS Umum Murni Teguh Sudirman Jakarta,Kota Jakarta Pusat,Jl. Jend. Sudirman No. 86,021-57853911,SWASTA/LAINNYA,C
3175407,RS Umum Gading Pluit,Kota Jakarta Utara,"Jl. Boulevard Timur Raya Pegangsaan Dua,Kelapa Gading ",021-4521001,SWASTA/LAINNYA,B
3171802,RS Khusus Bedah Halimun,Kota Jakarta Selatan,"Jl. Halimun No.9, Guntur Setiabudi, Desa/Kelurahan Guntur, Kec.Setiabudi, Kota Adm. Jakarta Selatan, Provinsi DKI Jakarta,
Kode Pos: 12980",021-8311361,Perusahaan,C
3172516,RS Umum Kartika Pulo Mas,Kota Jakarta Timur,Jl. Pulo Mas Timur K No 2 Jakarta Timur,021 4703333,Organisasi Sosial,C
3172755,RS Jantung Jakarta,Kota Jakarta Timur,"Jl. Matraman Raya No. 23, RT 002 RW 001, Jakarta Timur, DKI Jakarta. 13140",(021) 29360701,Perusahaan,B
3172762,RS Umum Daerah Ciracas,Kota Jakarta Timur,"Jalan Lapangan Tembak Cibubur 1 , Kelurahan Cibubur, Kecamatan Ciracas, Kota Jakarta Timur, Provinsi DKI Jakarta",021- 87711249,Pemprop,D
3173084,RS Tk. II M. Ridwan Meuraksa,Kota Jakarta Timur,Jl. Taman Mini I RT 004 / RW 02 Kel. Pinangranti Kec. Makasar,021 22819613,TNI AD,B
3173543,RS Umum Abdi Waluyo,Kota Jakarta Pusat,Jl. Hos Cokroaminoto 31-33 Jakarta Pusat,021 3144989,Organisasi Sosial,B
3171045,RS Umum Jakarta,Kota Jakarta Selatan,"Jl. Garnisun No. 1, Jl. Jend. Sudirman",021 5732241,Organisasi Sosial,C
3171795,RS Umum Daerah Pasar Minggu,Kota Jakarta Selatan,"JL. TB. SIMATUPANG NO. 1 KELURAHAN RAGUNAN, KECAMATAN PASAR MINGGU - JAKARTA SELATAN",021-29059999,Pemprop,B
3174351,RS Umum Siloam Hospitals Kebon Jeruk,Kota Jakarta Barat,Jl. Perjuangan Raya Kav.8 Jakarta Barat,021-25677888,SWASTA/LAINNYA,B
3174074,RS Umum Daerah Cengkareng,Kota Jakarta Barat,Jl.Kamal Raya Bumi Cengkareng Indah Cengkareng Timur,(021) 54372874,Pemprop,B
3171691,RS Gigi dan Mulut Univ. Prof. Moestopo,Kota Jakarta Selatan,Jl. Bintaro Permai Raya No 3 Jaksel,021-73885251,Organisasi Sosial,B
3175330,RS Umum Royal Progress,Kota Jakarta Utara,"Jl. Danau Sunter Utara, Sunter Paradise I",021-6400261,Organisasi Sosial,B
3171783,RS Ibu dan Anak Kemang Medical Care,Kota Jakarta Selatan,Jl. Ampera Raya No. 34,021-27545454,Perusahaan,B
3172094,RS Umum Universitas Kristen Indonesia,Kota Jakarta Timur,"Jl. May.Jen Soetoyo No.2 Kel.Cawang,Kec. Kramat jati, Jakarta Timur",021-8092317,Organisasi Protestan,B
3173014,RSUPN Dr. Cipto Mangunkusumo,Kota Jakarta Pusat,Jl. Diponegoro 71 Jakarta Pusat,021-1500135,Kemkes ,A
3173712,RS Umum Yarsi,Kota Jakarta Pusat,Jl. Letjen Suprapto Kelurahan Cempaka Putih Timur Kecamatan Cempaka Putih Jakarta Pusat ,80618619,Perusahaan,B
3174015,RS Umum Sumber Waras,Kota Jakarta Barat,Jl. Kyai Tapa No.1 Grogol Jakbar,021-5682011,Organisasi Sosial,B
3171552,RS Khusus THT Ciranjang,Kota Jakarta Selatan,"Jl. Ciranjang No. 20 & 22, Kel. Rawa Barat, Kec. Kebayoran Baru, Kota Jakarta Selatan, Prov. Daerah Khusus Ibukota Jakarta, 12180",021-7243366,Organisasi Sosial,C
3175031,RS Umum Akademik Atma Jaya,Kota Jakarta Utara,Jl. Pluit Raya Jakarta Utara No. 02,02150949000,Organisasi Katholik,B
3173705,RS Umum Daerah Tanah Abang,Kota Jakarta Pusat,"Jl. KH. Mas Mansyur No. 30 Kel. Kebon Kacang Kec. Tanah Abang, Jakarta Pusat",213150427,Pemprop,D
3173698,RS Umum Daerah Sawah Besar,Kota Jakarta Pusat,Jl. Dwi Warna Raya No. 6-8,021-62320819,Pemprop,D
3171786,RS Umum Mayapada,Kota Jakarta Selatan,Jalan Lebak Bulus I. Kav. 29,021-29217777,Perusahaan,B
3172013,RSUP Persahabatan,Kota Jakarta Timur,"Jl. Persahabatan Raya No. 1, Jakarta Timur",021-4891708,Kemkes ,A
3172531,RS Umum Harapan Jayakarta,Kota Jakarta Timur,"Jl. Bekasi Timur Raya No.6 Km.18, Kel. Jatinegara, Kec. Cakung, Jaktim",021-4608886,Organisasi Sosial,C
3172758,RS Khusus Bedah Columbia Asia Pulomas,Kota Jakarta Timur,Jl. Kayu Putih Raya No. 1 Kel. Kayu Putih Kec. Pulogadung,021-29459999,Perusahaan,A
3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,"Jl. Madya Kebantenan Nomor 4, Semper Timur, Cilincing",214412889,Pemprop,C
3173116,RS Umum YPK Mandiri,Kota Jakarta Pusat,Jl. Gereja Theresia No. 22 Menteng Jakpus,3909725,Organisasi Sosial,D
3173612,RS Khusus THT Prof Nizar,Kota Jakarta Pusat,Jl. Kesehatan No. 9 Jakpus,3843596-3503435,SWASTA/LAINNYA,C
3171801,RS Umum Daerah Kebayoran Baru,Kota Jakarta Selatan,"Jl. Abdul Majid No 28, Kelurahan Cipete Utara, Kecamatan Kebayoran Baru, Kota Administrasi Jakarta S",021-22774461,Pemprop,D
3171413,RS Ibu dan Anak JWCC Asih,Kota Jakarta Selatan,Jl. Panglima Polim III no.34 Melawai Kebayoran Baru,2700610,Perusahaan,C
3171796,RS Umum Petukangan,Kota Jakarta Selatan,"Jl. Ciledug Raya No. 8A-B, Petukangan Selatan, Pesanggrahan",021-7340906,SWASTA/LAINNYA,D
3174420,RS Umum Eka Permata Hijau,Kota Jakarta Barat,Jl. Kebayoran Lama  No.64 Jakarta Barat,021-5347411,SWASTA/LAINNYA,C
3174510,RS Umum Anggrek Mas,Kota Jakarta Barat,Jl. Anggrek No. 2B rt.009/02 Kelapa Dua Kebon Jeruk,021-5305720/536,SWASTA/LAINNYA,D
3171785,RS Umum Bhayangkara Lemdiklat Polri,Kota Jakarta Selatan,"JL. CIPUTAT RAYA NO 40, KELURAHAN  PONDOK PINANG, KECAMATAN KEBAYORAN LAMA",021-7650384,POLRI,C
3171713,RS Umum Kartini,Kota Jakarta Selatan,"Jl. Ciledug Raya No.94-96 Cipulir, Keabayoran Lama",7245646,SWASTA/LAINNYA,C
3171911,RS Ibu dan Anak SamMarie Wijaya,Kota Jakarta Selatan,"Jl. Wijaya I No.45, RW.5, Petogogan, Kec. Kebayoran. Baru, Kota Jakarta Selatan",021 7211305,SWASTA/LAINNYA,C
